Timestamp,Email Address,Student ID,First Name,Last Name,Major,GPA,Desired Team Role,What is your time commitment to this course?,Level of Detail,Problem Solving Approach,Conflicts,General skills and interests [Writing],General skills and interests [Presentation Generation],General skills and interests [Presentation Delivery],General skills and interests [Project Management],General skills and interests [Marketing / Customer Relationship],Mechanical Skills and Interests [Machining],Mechanical Skills and Interests [CNC],Mechanical Skills and Interests [Fluids],Mechanical Skills and Interests [Heat Transfer],Mechanical Skills and Interests [Mechanics of Materials],Mechanical Skills and Interests [Finite Element Analysis],Mechanical Skills and Interests [Kinematics and Dynamics],Mechanical Skills and Interests [Computational Fluid Dynamics],Electrical Skills and Interests [Circuits],"Electrical Skills and Interests [Digital/FPGA Design (Vivado, etc.)]",Electrical Skills and Interests [Communication Systems],Electrical Skills and Interests [Power Electronics and Systems],Electrical Skills and Interests [Signals and Systems ],Electrical Skills and Interests [Wireless Communication],Electrical Skills and Interests [Control Systems],Electrical Skills and Interests [Electromechanics],"Electrical Skills and Interests [PCB Design (Eagle, ExpressPCB, etc.)]",Computer Systems Skills and interests [Windows PC],Computer Systems Skills and interests [Mac PC],Computer Systems Skills and interests [Arduino],Computer Systems Skills and interests [Raspberry Pi],Computer Systems Skills and interests [Build your own PC],"Computer Systems Skills and interests [IoT (Alexa, Google assistant, etc.)]",Software Skills and Interests [Matlab],Software Skills and Interests [C/C++],Software Skills and Interests [Java],Software Skills and Interests [Python],Software Skills and Interests [Embedded],Software Skills and Interests [Networking],Software Skills and Interests [Operating Systems/Linux],Software Skills and Interests [Machine Learning/ Big Data],Software Skills and Interests [App development (iOS and/or Android)],"Software Skills and Interests [Cloud computing (AWS, Azure, etc.)]",Software Skills and Interests [Database (relational or non-relational)],Project: [Competition - Baja SAE],Project: [Competition - ASME Human Powered Vehicle],Project: [Community - Gyroplane],Project: [Community - Waste for Life Tijuana ],Project: [Community - Mobile Steam Collaboratory],Project: [eTrack - Life Box],Project: [eTrack - Discrete Solar],Project: [eTrack - Sunshine Box],Project: [eTrack - Helmet Sensor],Project: [Industry - Glaukos - Human Periorbital Tissue],Project: [Industry - Clear Blue Sea - Marine Robot],Project: [Industry - ThermoFisher - Bench Top Filler],Project: [Industry - General Atomics - Mockingjay],Project: [Industry - Hatsu - Charging Station for UAV],Project: [Industry - Solar Turbines - Automatic Leveling],Project: [Industry - Northrup - Active Field Cancellation],Project: [Industry - MexLog - Combo Saddle and Elevation System],Project: [Industry - Cubic - Accesible Fare Payment],Project: [Industry - SDGE - Integrated Control of Local Battery],Project: [Industry -Hi-Q Environmental Products - Testing Collection Efficiency of Annular Kinetic Impactor],Project: [CS - Northrup - Machine Learning],Project: [CS - COR.PER - Insights],Project: [CS - Jacobitz - Computing Clusters],Project: [CS - Atlazo - Heart Rhythm Monitoring],Project: [CS - Georgia Tech - Automated System Deployment and Configuration],Project: [CS - Seamgen - Platform for software design],Project: [CS - Hoople - Project Team Match],Project: [CS - Nuuve Corp - Electric Vehicle and User Identification ],Project: [CS - Bennett - Financial Planning Note-taking Application],Project: [CS - Clarke - Unity 3D Game],Project: [CS - Jacobs -  Nudge App & Kiosk],Are you already a member of an entrepreneurship team? ,Confidential Comments to Instructors,Gender,What categories do you most identify as? Check all that apply.
9/10/2019 17:29,YRNY@sandiego.edu,11,WQV,IOA,Mechanical Engineering,3.71,Leader,6 hours+ outside class per week - this is a big priority for me,5,1,,Proficient,Adept,Adept,Proficient,Adept,Proficient,Proficient,Adept,Adept,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Proficient,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,2,,6,,3,5,,1,,4,,,,,,,,,,,,,,,,,,7,No,,Male,White
9/10/2019 17:33,BHII@sandiego.edu,12,VDV,PBF,Electrcial Engineering,3.31,Leader,6 hours+ outside class per week - this is a big priority for me,3,3,N/A,Adept,Adept,Adept,Adept,Proficient,Somewhat capable,Somewhat capable,Adept,Adept,Proficient,Somewhat capable,Adept,Somewhat capable,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Somewhat Familiar,Adept,Adept,Proficient,Adept,Adept,Adept,Adept,Adept,Adept,Interested and able to learn,Somewhat Capable,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Avoid,Avoid,,,,,,,,,,,6,7,,1,Avoid,2,,,5,,,3,,,,4,,,,No,,Male,Asian / Pacific Islander
9/10/2019 17:33,MBWP@sandiego.edu,13,NET,WVR,Mechanical Engineering,3.34,Leader,6 hours+ outside class per week - this is a big priority for me,1,1,,Proficient,Proficient,Proficient,Adept,Proficient,Adept,Proficient,Adept,Adept,Somewhat capable,Adept,Somewhat capable,Adept,Somewhat familiar,Interested and able to learn,Somewhat capable,Somewhat familiar,Interested and able to learn,Interested and able to learn,Somewhat capable,Proficient,Interested and able to learn,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Somewhat Familiar,Proficient,Proficient,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,4,7,,,,3,,,,,,,1,6,5,2,,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:35,NMVK@sandiego.edu,14,LYA,JLM,Electrcial Engineering,3.89,Leader,4-6 hours outside of class per week,1,1,NET and LYA,Proficient,Adept,Adept,Proficient,Adept,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Proficient,Adept,Proficient,Adept,Somewhat capable,Adept,Adept,Adept,Adept,Adept,Adept,Adept,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,5,,,,6,7,,,1,,,2,,,,3,4,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:38,AMPA@sandiego.edu,15,YZQ,PJN,Electrcial Engineering,3.62,Contributor,4-6 hours outside of class per week,3,2,,Proficient,Somewhat capable,Somewhat capable,Proficient,Proficient,Interested and able to learn,No interest,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,No interest,Adept,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat capable,Somewhat familiar,Somewhat Capable,No interest,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Proficient,Interested and able to learn,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,7,Avoid,,,,,5,1,,6,4,,3,,2,,,,,,,,,,,,,,No,,Male,Asian / Pacific Islander
9/10/2019 17:39,POFW@sandiego.edu,16,ROE,FUN,Mechanical Engineering,3.85,Leader,2-3 hours outside of class per week,2,2,,Proficient,Proficient,Proficient,Proficient,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,,No interest,Interested and able to learn,No interest,No interest,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,No interest,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,7,5,,6,4,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,No,,Female,Asian / Pacific Islander
9/10/2019 17:40,DJLU@sandiego.edu,17,KYR,TQY,Mechanical Engineering,3.95,Contributor,4-6 hours outside of class per week,2,4,,Proficient,Proficient,Proficient,Proficient,Proficient,Somewhat familiar,Somewhat familiar,Somewhat capable,Proficient,Proficient,Somewhat familiar,Proficient,Somewhat capable,Somewhat capable,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,Interested and able to learn,5,,,,,,,,3,,6,,1,4,,2,7,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:41,JEQI@sandiego.edu,18,YQD,LIV,Mechanical Engineering,3.24,Contributor,2-3 hours outside of class per week,3,2,,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Somewhat familiar,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,No interest,Somewhat Familiar,Somewhat Familiar,No interest,No interest,No interest,No interest,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Avoid,,,4,3,,,,,2,1,5,7,,6,,,,,,,,,,,,,,,,,No,,Female,Asian / Pacific Islander
9/10/2019 17:42,ZNED@sandiego.edu,19,OAB,UFA,Mechanical Engineering,3.28,Leader but willing to fill,6 hours+ outside class per week - this is a big priority for me,3,1,,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Adept,Somewhat capable,Adept,Somewhat capable,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Adept,Adept,Adept,Somewhat Familiar,Somewhat Familiar,Proficient,Proficient,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,5,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,3,Avoid,6,1,4,Avoid,2,Avoid,Avoid,Avoid,7,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,Asian / Pacific Islander
9/10/2019 17:51,CTAL@sandiego.edu,20,HCH,ZQE,Computer Science,3.78,Contributor,Just enough to get by - I have other priorities,4,3,,Proficient,Proficient,Somewhat familiar,Adept,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Adept,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,,,,,,,,7,3,,,,,,,,,1,,,6,,,4,,,,2,,,5,No,,Male,Hispanic or Latino
9/10/2019 17:53,JQJI@sandiego.edu,21,XPC,SRG,Computer Science,3.09,Leader,4-6 hours outside of class per week,4,1,HCH ZQE,Proficient,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Proficient,Proficient,Proficient,Proficient,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,,,,6,,,,4,,,7,,,,,,,,,,,,,2,,5,3,,,,,Yes,,Female,White
9/10/2019 17:54,UGIT@sandiego.edu,22,AHL,PDF,Mechanical Engineering,3.12,Contributor,4-6 hours outside of class per week,4,2,,Somewhat capable,Adept,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat capable,No interest,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,Adept,Adept,Somewhat Familiar,Somewhat Capable,Adept,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,No interest,Interested and able to learn,No interest,Interested and able to learn,1,2,,4,,,,,,,6,,3,5,7,,,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:55,VCGM@sandiego.edu,23,JIX,RPP,Mechanical Engineering,3.07,Contributor,4-6 hours outside of class per week,5,2,,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,5,,,3,,,2,4,6,,,,,,1,,,,,,,,,,,,Yes,,Female,"Native American or American Indian, White"
9/10/2019 17:55,TKBU@sandiego.edu,24,QBO,ABC,Mechanical Engineering,3.98,Contributor,2-3 hours outside of class per week,4,1,,Somewhat capable,Proficient,Proficient,Somewhat capable,Somewhat capable,Adept,Proficient,Adept,Somewhat capable,Adept,Somewhat capable,Adept,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Adept,Adept,Proficient,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,6,1,,,3,2,,,7,,4,,5,,,,,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:55,QOHT@sandiego.edu,25,AYT,NFZ,Mechanical Engineering,3.91,Contributor,4-6 hours outside of class per week,5,1,,Somewhat capable,Proficient,Proficient,Somewhat capable,Somewhat capable,Adept,Proficient,Adept,Somewhat capable,Adept,Interested and able to learn,Adept,Interested and able to learn,Adept,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Interested and able to learn,Adept,Adept,Adept,Proficient,No interest,No interest,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Somewhat Capable,No interest,No interest,No interest,No interest,6,1,,Avoid,3,2,,,7,,4,,5,,Avoid,,,,,,,,,,,,,,,,,No,,Male,"Hispanic or Latino, White"
9/10/2019 17:57,WQWI@sandiego.edu,26,VQX,YVJ,Mechanical Engineering,3.17,Contributor,4-6 hours outside of class per week,3,4,TNC UJA,Proficient,Adept,Adept,Adept,Adept,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,Interested and able to learn,Proficient,Adept,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Adept,Proficient,Adept,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,7,1,6,,4,5,,,,,2,,3,,,,,,,,,,,,,,,,,,,No,,Female,Hispanic or Latino
